Well.identifier,X,Y,H,isChannel
1,79.8,455.87,2397.836239,0
2,93.9,628.6206667,2383.245777,0
3,241,638.2173333,2398.671334,0
4,84.5,285.5186667,2394.872917,0
5,104.85,91.174,2372.390835,0
6,222.2,86.37533333,2382.827861,0
7,203.45,345.5013333,2418.03097,0
8,389.65,206.0666667,2428.321169,0
9,428.8,700.6,2399.556398,0
10,328.65,801.3733333,2372.538291,0
11,536.8,834.96,2370.8863,0
12,483.55,595.03,2427.916923,0
13,574.35,76.778,2396.580149,0
14,547.75,227.9346667,2435.60516,0
15,679.2,806.1666667,2375.330779,0
16,632.25,431.8766667,2469.53987,0
17,668.25,105.57,2401.127039,0
18,793.45,62.3822,2384.590725,0
19,755.85,590.2313333,2418.758719,0
20,807.5,364.696,2434.710434,0
21,887.3,220.7366667,2405.344056,0
22,887.3,220.7366667,2405.344056,0
23,876.35,619.0233333,2400.172829,0
24,865.4,734.1933333,2379.943062,0
25,147.1,734.1933333,2372.290261,10
26,284.8,201.5426667,2410.780502,10
27,128.35,463.5986667,2404.807607,10
28,359.95,91.174,2394.14968,10
29,366.2,523.0506667,2435.161103,20
30,494.5,290.3173333,2452.168908,10
31,492.95,76.778,2396.143659,10
32,643.2,532.648,2442.931754,10
33,560.25,628.6206667,2420.283084,10
34,682.3,259.126,2437.256857,10
35,746.5,434.276,2446.201062,10
36,159.6,247.1293333,2401.850618,20
37,300.45,376.6926667,2436.757454,20
38,557.1,395.8866667,2494.622088,20
39,738.65,206.3413333,2419.710797,20
40,732.4,681.4066667,2400.700151,20
41,793.45,753.3866667,2381.308331,20
